label,articles,result,gemini labels
0,"Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven, so give your money!",0,"0
"
0,"If everyone lived his or her life exactly like Jesus lived his life, the world would be a beautiful place!",0,"1
"
0,"I know you don’t like the kitty-cat sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo.",0,"1
"
0,"Dave wants you to break into the spooky cabin with him. “Everyone does it,” he claims. What fallacy has he committed?",1,"0
"
0,"Ms. Drayer, the smartest person in the universe, says the debate is the best class, therefore it is.",1,"0
"
0,Why did the blond cross the road?  Because she saw a shoe sale!,0,"1
"
0,"Timmy: Mom, what if I don’t believe in God?
Mom: Then you burn in Hell forever.  Why do you ask?
Timmy: No reason.
",0,"0
"
0,"""If you never gave money to charity, then you must be a greedy millionaire."" What is this?",0,"0
"
0,Caroline says that she is going to have lunch with the new girl. Jenna says that she can't believe that Caroline is ditching her old friends for the new girl.,0,"1
"
0,"""You can never give anyone a break. If you do, they'll walk all over you.""",0,"0
"
0,"Believing that ""runs"" occur to statistically independent phenomena such as routine wheel spirits.",0,"0
"
0,"I broke a mirror earlier in the day, and then I received an F on my history final. Therefore, I received the F because I broke the mirror.",0,"0
"
0,"Charlie: I think we should put more money into schools. Quality public education is so important.
Bob: So you’re saying we should cut military spending and spend it instead on more spiral notebooks and crayons? I guess you want our country to be a weak, defenseless target for terrorists.
Charlie: Creo que deberíamos invertir más dinero en las escuelas. La educación pública de calidad es muy importante.

Bob: ¿Entonces estás diciendo que deberíamos recortar el gasto militar y gastarlo en más cuadernos de espiral y crayones? Supongo que quiere que nuestro país sea un objetivo débil e indefenso para los terroristas.",0,"0
"
0,"Cellphones weren’t invented before I was born. Now, they are everywhere! Therefore, cellphones were created because I was born.",0,"0
"
0,Ms. Baker assigned me a lot of homework because she’s a witch!,1,"0
"
0,"My dad went to school, so he knows everything about the education system.",0,"0
"
0,Everyone is doing the Low-Carb Diet.,0,"0
"
0,"Parent: You need to clean out your backpack.
Child: You know I have ADD! Why can’t you just accept me as I am?",0,"0
"
0,"X has been around for years now.
Y is new.
Therefore, Y is better than X.",0,"0
"
0,"""Right when I sneezed, the power went off. I must've caused the outage."" Bragged Zohaw.",0,"0
"
0,"I like my steak rare. But I don’t care for aardvark steak, even though it’s the rarest steak in the world.",0,"1
"
0,"If you allow the students to redo this one test, they will always want to redo all future tests",1,"0
"
0,"There is no need for additional taxes for education. Every year we throw more money into education, and all they do is hire more management and build more buildings. None of the money actually reaches the classroom or is really used for education.",0,"0
"
0,Believing that the cause of the Reformation was simply Martin Luther posting his theses,0,"0
"
0,The party was going great! Then Gerald showed up and little by little people started collecting their coats and heading home. Gerald ruined the party.,0,"0
"
0,"I can’t stop eating these chocolates.  I really love chocolate, or I seriously lack willpower.  I know I really love chocolate; therefore, I cannot lack willpower.",0,"0
"
0,"Shortly after MySpace became popular, U.S. soldiers found Saddam Hussein.",1,"0
"
0,Jimmy isn't at school today. He must be on a family trip.,0,"1
"
0,"I am athletic because I run, and I run because I'm athletic.",1,"0
"
0,You know Jane Fonda’s exercise videos must be worth the money. Look at the great shape she’s in.,0,"0
"
0,Albert Einstein was extremely impressed with this theory.,1,"1
"
0,“I sneezed exactly at the same time the power went off. My sneeze must’ve done something to make the power go off. “,0,"0
"
0,"It’s getting late, and we still have to decide on the school budget. What do you say we just leave it as is and we can call it a night?",0,"1
"
0,"Speaker 1 (Democrat): “Donald Trump is a known adulterer. It reflects badly on his character, and suggests he might not be trustworthy.”
Speaker 2 (Republican): “What about Bill Clinton? You didn’t seem to care when he cheated.”",1,"0
"
0,"I hope I presented my argument clearly.  Now, my opponent will attempt to refute my argument by his own fallacious, incoherent, illogical version of history.",0,"0
"
0,"Every time we sacrifice virgins, it rains. Therefore, sacrificing virgins causes it to rain.",1,"0
"
0,"Salesman: This car gets better than average gas mileage and is one of the most reliable cars according to Consumer Reports.
Will: I doubt it—you obviously just want to sell me that car.
",1,"0
"
0,Labor unions in America are just as bad as Russia under Stalin!,0,"0
"
0,"""Everyone was driving over the speed limit, so I shouldn't have gotten a ticket for it!"" is an example of which logical fallacy?",0,"0
"
0,Why would you trust Paris Hilton to sell health food? She drinks and parties and has multiple partners.,0,"0
"
0,"“Yesterday, I walked under a ladder with an open umbrella indoors while spilling salt in front of a black cat. And I forgot to knock on wood with my lucky dice. That must be why I’m having such a bad day today. It’s bad luck.”",1,"0
"
0,"A car makes less pollution than a bus. Therefore, cars are less of a pollution problem than buses",0,"0
"
0,"Preys on people’s emotions and sensitivities, can turn into a slippery slope",1,"0
"
0,"Bats are mammals. Bats can fly. Pigs are also mammals, therefore pigs can fly.",1,"0
"
0,The Geo Metro is a superior car because it averages 43 miles per gallon.,0,"1
"
0,"“While you may have concerns about my votes about the environment, I can assure you that I am an open minded individual. What we should really discuss is my record on votes that expanded educational opportunities for all children.""",1,"0
"
0,"Fish are the easiest pets to keep; they are inexpensive and require no maintenance at all. Plus, they are really pretty and soothing to watch.",0,"1
"
0,I am only slightly obese.  That is perfectly normal here in America.,0,"0
"
0,"Most people think the world is flat, therefore it is flat.",0,"0
"
0,You have to give me a passing grade. I spent 150 hours on that project and missed every party this quarter.,0,"0
"
0,"I guess I should buy my 12 year old daughter an iPhone. Everyone at her school has one, and I want her to fit in with the other kids.",0,"0
"
0,Kerry’s plan will raise taxes by at least $900 billion his first hundred days.,0,"0
"
0,"If you told a person, ""I think we should all stay inside to bend the curve of COVID-19"" and they replied, ""so I guess you want people to lose their jobs then,"" what logical fallacy are they using?",0,"0
"
0,"Power lines cause cancer. I met a little boy with cancer who lived just 20 miles from a power line who looked into my eyes and said, in his weak voice, “Please do whatever you can so that other kids won’t have to go through what I am going through.” I urge you to vote for this bill to tear down all power lines and replace them with monkeys on treadmills.",0,"0
"
0,"Student: Hey, Professor Moore, we shouldn't have to read this book by Freud. Everyone knows he used cocaine.",0,"0
"
0,"Our house was burglarized right after that new family moved in next door. Therefore, that new family must have been involved.",0,"0
"
0,"Witchcraft remains our most urgent spiritual problem because it threatens
our very souls.",1,"0
"
0,"Senator Jill: ""We'll have to cut education funding this year.""
Senator Bill: ""Why?""
Senator Jill: ""Well, either we cut the social programs or we live with a huge deficit and we can't live with the deficit.""",1,"0
"
0,"""You'll make the right decision because you have something that not many people do: you have heart.""?",0,"1
"
0,Christine has a terrible experience with a boyfriend. She decides that all boys are mean. This is an example of which logical fallacy?,0,"0
"
0,Smoking pot is against the law because it's wrong; I know it's wrong because it is against the law.,0,"0
"
0,"""You can't give me a D because I'm an A student!""",0,"0
"
0,People who buy stocks are no different from people who bet on horse racing. They both risk their money with little chance of making a big profit.,0,"0
"
0,"I cannot get a job because the public education system failed me;  I have to steal to  survive.  It is society's fault, not mine.",0,"0
"
0,"Trump presents a dark image of America if Clinton is elected, with “Syrian refugees flooding in, illegal immigrants convicted of crimes staying.”",0,"0
"
0,"Charlie: Fast food is filled with salt, fat, and added sugars. We need better regulation of the industry.
Bob: That my be, but you're such a hypocrite! I saw you devour a Triple-Baconator, super-sized fries, and 64oz of soda yesterday!",0,"0
"
0,Christine has a terrible experience with a boyfriend. She decides that all boys are mean.,0,"0
"
0,"Barbara believes the marketing agency's office is haunted. The cleaning crew once said they heard a other-worldly noise late at night. Since no one could prove that it wasn't a ghost, the office must be haunted.",1,"0
"
0,"I am voting for Pepitone for President because the rest of my family is voting for her, and I don't want to be the only one not doing so.",1,"0
"
0,"“I admire the president for being a good role model.” REPLY: “But the New York Times says he’s a lousy role model, so you’re wrong.”",1,"0
"
0,The numbers on gun violence speak for themselves. We should ban guns in the country!,0,"0
"
0,"“The temperature has dropped this morning, and I also have a headache. Therefore, the cold weather must be causing my headache. “",0,"0
"
0,"My teacher says the Earth is flat, so it definitely is flat.",0,"0
"
0,"The fallacy of equivocation occurs when a key term or phrase in an argument is used in an ambiguous way, with one meaning in one portion of the argument and then another meaning in another portion of the argument.",1,"0
"
0,When you have too little or unrepresentative data to make claim.,0,"0
"
0,"The majority of people believe advertisers should spend more money on billboards, so billboards are objectively the best form of advertisement.",0,"0
"
0,"If we ban Hummers because they are bad for the environment, eventually the government will ban all cars, so we should not ban Hummers.",0,"0
"
0,"My opponent raised a good point, but can we trust him? I mean he just moved to town only 5 months ago, how much could he really know?",0,"0
"
0,"Either you can save your money to buy a new car for yourself, or you can just take an Uber around for the rest of your life.",1,"0
"
0,"Matthieu was the only player on the team who didn't grow a playoff beard, and thus he ended up getting injured.",0,"0
"
0,"John: Members of the UbaTuba White Men's Club are upstanding citizens of the community.
Marvin: Then why are there so many of these members in jail?
John: They were never true UbaTuba White Men's Club members.
Marvin: What’s a true UbaTuba White Men's Club member?
John: Those who don't go to jail.
",0,"0
"
0,"""Animal experimentation reduces our respect for life. If we don't respect life, we are likely to be more and more tolerant of violent acts like war and murder. Soon our society will become a battlefield in which everyone constantly fears for their lives. It will be the end of civilization. To prevent this terrible consequence, we should make animal experimentation illegal right now.""",0,"0
"
0,You know Jane Fonda's exercise videos must be worth the money. Look at the great shape she's in.,0,"0
"
0,"Asians make lousy athletes, but do well at the Math Olympiad.",0,"0
"
0,"“Caldwell Hall is in bad shape. Either we tear it down and put up a new building, or we continue to risk students’ safety. Obviously we shouldn’t risk anyone’s safety, so we must tear the building down.”",0,"0
"
0,Did you really vote for Donald as class treasurer? Didn't you hear that his uncle was imprisoned for embezzling $1.5 million?,0,"0
"
0,"If the ozone layer is destroyed, many people will get cancer and suffer from other illnesses.  The ozone layer is being protected, not destroyed.  So, many people will be spared the pain of cancer and other illnesses.",1,"1
"
0,"Broccoli has significantly less fat than the leading candy bar! Plus, it's nowhere near as hot as Hot Cheetos!",0,"0
"
0,You're complaining because you have to walk to school? I used to have to give my parents my entire paycheck.,0,"0
"
0,Robot 2 (Blue) has been refuting all of Robot 1's (Orange) arguments. Robot 1 launches the above counterargument. What is this fallacy?,0,"0
"
0,Personally attacking someone to shift attention away from your views is,1,"0
"
0,"""She's such a mean teacher and person – that's why she wouldn't raise my grade ONE percent!""",1,"0
"
0,"If you don't buy the black pencils, you will get made fun of. You will not be chosen for group projects.",0,"0
"
0,"Jeff's mom is concerned when she finds out that he skipped class one day. She tells him that she is concerned that since he skipped one class, he will start skipping more frequently. Then he will drop out altogether, never graduate or get into college, and end up unemployed and living at home for the rest of his life. What type of fallacy has Jeff's mom committed?",0,"0
"
0,"How can you tell me I should exercise to lose weight? All you do is sit behind a desk all day. I've never seen you do a lick of exercise.

Identify the logical fallacy commited in this argument.",0,"0
"
0,"""We both like music, so we should get married.""",0,"0
"
0,"Brandon: We should have tastier lunches!
Jaylen: Don't listen to him! He's a terrible person! I saw him trip another student and steal his lunch money!",1,"0
"
0,Of course Marx' theories about the ideal society are bunk. The guy spent all his time in the library.,0,"0
"
0,"I'm tailgating her, because she cut me off!",0,"1
"
0,President Petutti ordered a military strike that killed many civilians. He is no different than any other mass murder and he belongs in prison!,0,"0
"
1,"Coach talks with football player, other players and crowd in background. Thus, a football coach talks with his player in front of the team and the crowd.",1,"1
"
1,"Two men watching one man make a golf putt on the set of Sports Center. As a consequence, people watching sports.",1,"0
"
1,"Six women wait to use a port-o-john in a field. Thus, women are outside.",0,"1
"
1,Women wearing a black top and glasses speaking into a blue tipped microphone with another woman beside her writing. It follows that one woman speaking into a microphone while a second woman writes beside her.,1,"1
"
1,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. Therefore, a tan girl runs leans over an object.",1,"0
"
1,A scientist studies a slide in order to work on her new creation. It follows that a scientist studies a slide that is related to her invention.,0,"1
"
1,"A red dog jumps and catches a tennis ball in its mouth. Consequently, a dog catching a ball.",1,"1
"
1,"A group of dogs stand in the snow. Thus, there are animals outdoors.",1,"1
"
1,This person looks to be snowboarding on a very small pile of snow on a sunny cold day. This implies that young snowboarder sizing up their next jump.,0,"0
"
1,"A large number of people are watching men dressed in kilts, one of whom has thrown a long pole. As a consequence, people watch men in kilts.",0,"0
"
1,"A boy is riding down the road between two cows. Consequently, a boy, a road and two cows.",1,"0
"
1,A bald man is getting out of a small blue car. It follows that the man is bald.,1,"1
"
1,"Young boys in green and blue jerseys kick around a soccer ball while other soccer games take place in the background. Thus, young boys kicking around a soccer ball.",0,"1
"
1,"A girl playing a violin along with a group of people. Consequently, a girl is playing an instrument.",1,"1
"
1,Two small boys in blue soccer uniforms use a wooden set of steps to wash their hands in an adult-sized bathroom. It follows that two boys washing their hands.,0,"1
"
1,A soccer player in white kicks a ball as another soccer player lunges towards the ball and a third soccer player in red follows close by. This implies that there are three soccer players.,1,"1
"
1,"Children playing a video game together. Thus, the kids are indoors playing a video game.",1,"1
"
1,Two people in coats kiss on the side of a road. This implies that people show their appreciation for another.,0,"0
"
1,Woman reading a book with a grocery tote. It follows that a woman is reading.,1,"1
"
1,"A man wearing a brown hoodie is shopping for snacks. As a consequence, the man is wearing brown.",1,"1
"
1,"A young man in a blue T-shirt and sweatpants stands over a stove and looks at the camera while another young man stands behind him. As a consequence, a man is in front of a camera.",1,"0
"
1,"This church choir sings to the masses as they sing joyous songs from the book at a church. Therefore, the church is filled with song.",1,"0
"
1,"A man and a woman are standing at the side of an inflatable climbing structure. As a consequence, a man and a woman are standing.",1,"1
"
1,An asian teenager wearing a white shirt with black stripes is sitting on the steps with his face resting on his hand. This implies that the teenager is seated.,1,"1
"
1,"Boy in red and black shirt walks through grass. Therefore, the boy is walking.",1,"1
"
1,"These girls are having a great time looking for seashells. As a consequence, the girls are happy.",1,"1
"
1,"Small girl in a pink dress is playing electronic drum pads with sticks. Consequently, a girl is playing electronic drums.",1,"1
"
1,"A blond woman with a tattoo of on an angel on her arm walking down the street, a concrete wall in the background. As a consequence, a person with a tattoo.",0,"0
"
1,"A tan dog chases a black and white soccer ball. Therefore, a dog is chasing a ball.",1,"1
"
1,"A dusty boy runs along a dirt path through the grass. As a consequence, a boy is outside running.",1,"1
"
1,"A guy with a football, a crowd watching him. Consequently, there is a guy holding a football.",0,"1
"
1,Two women are tending to their herd of animals including cows and goats near a building made primarily of stone. It follows that the two women are taking care of a herd of animals.,1,"1
"
1,"A boy and girl play together on a pile or rocks in a residential area. Thus, the boy and girl are outside.",0,"1
"
1,"A boy stands in the middle of a crowd of teenagers. Thus, a person stands in the middle of a crowd of teenagers.",1,"1
"
1,"Two men are standing in a boat. Thus, some people are in a boat.",1,"1
"
1,An Asian woman dressed in a colorful outfit laughing. It follows that a woman is wearing colorful clothing.,0,"1
"
1,"A woman in black reviews a message as she walks to work. Hence, the woman in black has a job.",0,"0
"
1,"A shirtless man rock climbs. As a consequence, a man is outside.",1,"1
"
1,"A man wearing a kilt has thrown a large pole. Therefore, a man is wearing a skirt.",0,"0
"
1,"A man in a blue t-shirt is taking a picture while a woman with an umbrella walks behind him. Consequently, a man is taking a picture outdoors while a woman walks behind him.",0,"1
"
1,"A child and a parent or older sibling going for a hike. Consequently, two people are going for a hike.",1,"1
"
1,"Two kids in black trunks bouncing on a wet trampoline. Consequently, children play on trampolines outdoors.",0,"0
"
1,"2 people with backpacks are at a table with a woman with a beige blazer sitting behind it. Thus, 2 people are at a table.",1,"1
"
1,"A group stands and watches two men, apparently dressed in some sort of costume, wrestle on the ground. It follows that there are people wrestling.",1,"1
"
1,"two girls looking out the window at ""Hair at Hart."" Hence, two people look out a window.",1,"0
"
1,"A man visiting a friend in the hospital. Therefore, a man in a hospital receives a visiting friend.",0,"0
"
1,"A schoolgirl is jumping over a low hurdle. Consequently, a girl is jumping over a hurdle.",0,"1
"
1,"Young Asian girl is sitting on the ground in rubble. Hence, the young Asian girl is outside in the rubble.",0,"1
"
1,"A group of women sing together while wearing matching black dresses. Thus, there are women singing.",1,"1
"
1,Two boys in running clothes stretching. This implies that the boys are stretching.,1,"1
"
1,A group of young men in a gym take turns scoring in basketball. This implies that guys are indoors.,1,"1
"
1,"An Eastern vendor sits by his stall with a rooster nearby. Consequently, a rooster near a vendor.",1,"0
"
1,"A bird is perched on a tree branch. Thus, a bird is perching in a tree.",0,"1
"
1,"A man in an overcoat putting on his gloves at a subway station. Therefore, a person is in the subway station.",0,"1
"
1,"Person with umbrella observes flooded streets with cars in the water. Consequently, a person is outside.",0,"1
"
1,A group of people are camping out on some rocks. This implies that people are outdoors.,1,"1
"
1,A choir made up of varying ages of people are performing. This implies that the choir is singing.,0,"0
"
1,A man scales a rock climbing wall. It follows that a man rock climbing.,1,"0
"
1,"A little white dog runs outside, their ears blown back in the wind. It follows that there is an animal outside.",1,"1
"
1,"A bearded man sits near a white van. As a consequence, a man sitting outside near a van.",0,"0
"
1,"Two children wearing hooded tops laughing with each other. Thus, children laugh.",1,"0
"
1,"A man in glasses in a basement. Thus, the basement has a man in it.",1,"1
"
1,A man in a white shirt speaks into a microphone as other men gather behind him at a public event. This implies that a man in a white shirt is making a speech in front of a crowd.,1,"1
"
1,A brown and white dog is chained up near a red chair. It follows that the dog is chained to a chair.,0,"0
"
1,"This is when daddy taught her how to ride her scooter. Consequently, daddy taught her.",1,"1
"
1,"A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background. Therefore, the girl is outside.",1,"1
"
1,"A man wearing a black cap is suspended in the air on a swing, as children are swinging on a swing set. Hence, a man in a black hat is swinging with some children.",1,"1
"
1,"A man with a blue, collared shirt sits in front of another man. This implies that a man sits in front of another man.",1,"1
"
1,"A young man in an orange shirt, maneuvers a skateboard at the top of a ramp. Therefore, a person rides a skateboard.",1,"1
"
1,"A large group of people walking in a busy city at night. Consequently, people are walking a city.",1,"0
"
1,"A group of people are walking by a van. Therefore, some people outdoors.",1,"0
"
1,"A white and a black dog fighting in a fenced in room. As a consequence, the dogs are fighting.",1,"1
"
1,"A white greyhound dog wearing a muzzle runs around a track. Hence, the dog is racing other dogs.",0,"1
"
1,The pitcher is pitching the ball in a game of baseball. It follows that the pitcher throws the ball.,1,"1
"
1,"Girl in a red coat, blue head wrap and jeans is making a snow angel. As a consequence, a girl outside plays in the snow.",1,"1
"
1,"Men in an office with computers and a projector screen. Consequently, there are computers and a projector screen in the room.",1,"1
"
1,"A small child in a red jacket is sitting on a man's shoulders and holding his head. Therefore, the child's hands are on the man's head.",0,"1
"
1,Three girls are standing and talking to each other. It follows that three girls are talking.,1,"1
"
1,"a man with a cap and not wearing shirt is laying a wooden bench. Consequently, a man relaxes on a bench.",0,"0
"
1,"A man in a red shirt is being filmed by another man on a sports field with a huge audience of people watching and cheering. Therefore, the man is being filmed by another man.",1,"1
"
1,"A man in a suit cheering in a library in front of children. Thus, a guy is cheering near some children.",0,"1
"
1,A man in suit waiting for the green light. This implies that a man waits at a red light.,1,"0
"
1,"A man smokes while leaning against a pillar, which has a ""missing person"" flier posted on it. Thus, a guy smoking against a wall with a flier on it.",0,"1
"
1,"A woman is standing at a podium. Thus, a person is at a podium.",0,"1
"
1,Four boys are about to be hit by an approaching wave. It follows that a wave is about hit some boys.,1,"1
"
